"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT21"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-15","9.40",,"0.00","0.0","0.0",,"64","32","  360","  360","23.9","30.0",,,,,,,,,,,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-16","5.82",,"0.00","0.0","0.0",,"67","28","  340","  230","13.0","16.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-17","12.08",,"0.00","0.0","0.0",,"71","32","  190","  170","25.9","33.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-18","14.76",,"0.00","0.0","0.0",,"83","53","  350","  320","25.1","32.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-19","8.05",,"0.00","0.0","0.0",,"69","34","   80","   50","17.9","23.9",,,,,,,,,,,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-20","9.62",,"0.03","0.0","0.0",,"63","53","  130","  150","17.0","23.0","    1",,,,,,,,,,"    1","    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-21","10.51",,"0.01","0.0","0.0",,"79","42","  320","  310","25.9","34.9",,,,,,,,"    1",,,"    1","    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-22","13.42",,"0.00","0.0","0.0",,"58","41","   10","  360","23.0","30.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-23","6.71",,"0.00","0.0","0.0",,"72","35","   20","  350","17.0","21.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-24","8.72",,"0.00","0.0","0.0",,"75","32","  180","  170","23.0","29.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-25","15.66",,"0.00","0.0","0.0",,"66","48","  280","  260","34.9","51.0","    1",,,,,,,,,,"    1","    1","    1",
